Schools,Faculties,Department,Links
HKU,Faculty of Architecture,Department of Architecture,https://www.arch.hku.hk/people/arch_staff/
HKU,Faculty of Architecture,Department of Real Estate and Construction,https://www.arch.hku.hk/people/arch_staff/
HKU,Faculty of Architecture,Department of Urban Planning and Design,https://www.arch.hku.hk/people/arch_staff/
HKU,Faculty of Architecture,Division of Landscape Architecture,https://www.arch.hku.hk/people/arch_staff/
HKU,Faculty of Arts,School of Chinese,https://web.chinese.hku.hk/en/people/academic_staff/
HKU,Faculty of Arts,School of English,https://english.hku.hk/people/Faculty/All
HKU,Faculty of Arts,School of Humanities - Art History,https://arthistory.hku.hk/index.php/people/
HKU,Faculty of Arts,School of Humanities - Comparative Literature,https://complit.hku.hk/index.php/faculty/
HKU,Faculty of Arts,School of Humanities - History,https://history.hku.hk/people/
HKU,Faculty of Arts,School of Humanities - Linguistics,https://linguistics.hku.hk/people/faculty/
HKU,Faculty of Arts,School of Humanities - Music,http://www.music.hku.hk/staff.html
HKU,Faculty of Arts,School of Humanities - Philosophy,https://philosophy.hku.hk/dept/people/faculty-and-staff/
HKU,Faculty of Arts,School of Modern Languages and Cultures,https://www.web.smlc.hku.hk/teachingstaff
HKU,Faculty of Arts,Centre of Buddhist Studies,https://www.buddhism.hku.hk/about-us/people/?position=research-staff
HKU,Faculty of Arts,Centre for the Humanities and Medicine,https://chm.hku.hk/people.html
HKU,Faculty of Business and Economics,Department of Accounting and Law,https://www.hkubs.hku.hk/people/faculty?staff_type=faculty&subject_area=all&track=professoriate&keywords=&alphabetical=
HKU,Faculty of Business and Economics,Department of Economics,https://www.hkubs.hku.hk/people/faculty?staff_type=faculty&subject_area=all&track=professoriate&keywords=&alphabetical=
HKU,Faculty of Business and Economics,Department of Finance,https://www.hkubs.hku.hk/people/faculty?staff_type=faculty&subject_area=all&track=professoriate&keywords=&alphabetical=
HKU,Faculty of Business and Economics,Department of innovation and Information Management,https://www.hkubs.hku.hk/people/faculty?staff_type=faculty&subject_area=all&track=professoriate&keywords=&alphabetical=
HKU,Faculty of Business and Economics,Department of Management and Strategy,https://www.hkubs.hku.hk/people/faculty?staff_type=faculty&subject_area=all&track=professoriate&keywords=&alphabetical=
HKU,Faculty of Business and Economics,Department of Marketing,https://www.hkubs.hku.hk/people/faculty?staff_type=faculty&subject_area=all&track=professoriate&keywords=&alphabetical=
HKU,Faculty of Dentistry,Department of Dentistry,https://facdent.hku.hk/about/our-staff.php
HKU,Faculty of Education,"Human Communication, Learning, and Development",https://web.edu.hku.hk/faculty-academics
HKU,Faculty of Education,Language and Literacy Education,https://web.edu.hku.hk/faculty-academics
HKU,Faculty of Education,"Mathematics, Science, and Technology",https://web.edu.hku.hk/faculty-academics
HKU,Faculty of Education,Social Contexts and Policies of Education,https://web.edu.hku.hk/faculty-academics
HKU,Faculty of Engineering,Department of Civil Engineering,https://engg.hku.hk/About-Us/Academic-Staff
HKU,Faculty of Engineering,Department of Computer Science,https://engg.hku.hk/About-Us/Academic-Staff
HKU,Faculty of Engineering,Department of Electrical and Electronic Engineering,https://engg.hku.hk/About-Us/Academic-Staff
HKU,Faculty of Engineering,Department of Industrial and Manufacturing Systems Engineering,https://engg.hku.hk/About-Us/Academic-Staff
HKU,Faculty of Engineering,Department of Mechanical Engineering,https://engg.hku.hk/About-Us/Academic-Staff
HKU,Faculty of Law,Department of Law,https://www.law.hku.hk/academic-staff/
HKU,Faculty of Law,Department of Professional Legal Education,https://www.law.hku.hk/academic-staff/
HKU,Faculty of Law,Asian Institute of International Financial Law,https://www.law.hku.hk/academic-staff/
HKU,Faculty of Law,Philip K.H. Wong Centre for Chinese Law,https://www.law.hku.hk/academic-staff/
HKU,Faculty of Law,Centre for Comparative and Public Law,https://www.law.hku.hk/academic-staff/
HKU,Faculty of Law,Centre for Medical Ethics and Law,https://www.law.hku.hk/academic-staff/
HKU,Faculty of Law,Law and Technology Centre,https://www.law.hku.hk/academic-staff/
HKU,Li Ka Shing Faculty of Medicine,Department of Medicine,https://medic.hku.hk/en/Staff/University-Academic-Staff
HKU,Faculty of Science,School of Biological Sciences,https://www.biosch.hku.hk/about-us/our-staff/
HKU,Faculty of Science,Department of Chemistry,https://chemistry.hku.hk/people/academic_staff_research/
HKU,Faculty of Science,Department of Earth Sciences,https://www.earthsciences.hku.hk/people/academic-staff
HKU,Faculty of Science,Department of Mathematics,https://hkumath.hku.hk/web/about-us/faculty.php
HKU,Faculty of Science,Department of Physics,https://www.physics.hku.hk/people
HKU,Faculty of Science,Department of Statistics and Actuarial Science,https://saasweb.hku.hk/staff_teaching.php
HKU,Faculty of Social Sciences,Department of Geography,https://www.geog.hku.hk/full-time-academic-staff
HKU,Faculty of Social Sciences,Department of Politics and Public Administration,https://ppa.hku.hk/faculties/Full-time-Faculty-members?sort=surname
HKU,Faculty of Social Sciences,Department of Psychology,https://psychology.hku.hk/research-staff/
HKU,Faculty of Social Sciences,Department of Social Work and Social Administration,https://www.socialwork.hku.hk/faculty-member/
HKU,Faculty of Social Sciences,Department of Sociology,https://sociology.hku.hk/people
HKU,Faculty of Social Sciences,Journalism and Media Studies Centre,https://jmsc.hku.hk/staff-page/
HKU,Faculty of Social Sciences,Sau Po Centre on Ageing,https://www.ageing.hku.hk/people
HKU,Faculty of Social Sciences,Centre on Behavioral Health,https://www.cbh.hku.hk/people
HKU,Faculty of Social Sciences,Centre for Civil Society and Governance,https://ccsg.hku.hk/en/ccsg-people/
